id,name,code
mun_240400,MUNICIPIO LA MATA,240400
mun_250100,MUNICIPIO SANTIAGO,250100
mun_250200,MUNICIPIO BISONÓ,250200
mun_250300,MUNICIPIO JÁNICO,250300
mun_250400,MUNICIPIO LICEY AL MEDIO,250400
mun_250500,MUNICIPIO SAN JOSÉ DE LAS MATAS,250500
mun_250600,MUNICIPIO TAMBORIL,250600
mun_250700,MUNICIPIO VILLA GONZÁLEZ,250700
mun_250800,MUNICIPIO PUÑAL,250800
mun_250900,MUNICIPIO SABANA IGLESIA,250900
mun_251000,BAITOA,251000
mun_260100,MUNICIPIO SAN IGNACIO DE SABANETA,260100
mun_260200,MUNICIPIO VILLA LOS ALMÁCIGOS,260200
mun_260300,MUNICIPIO MONCIÓN,260300
mun_270100,MUNICIPIO MAO,270100
mun_270200,MUNICIPIO ESPERANZA,270200
mun_270300,MUNICIPIO LAGUNA SALADA,270300
mun_280100,MUNICIPIO BONAO,280100
mun_280200,MUNICIPIO MAIMÓN,280200
mun_280300,MUNICIPIO PIEDRA BLANCA,280300
mun_290100,MUNICIPIO MONTE PLATA,290100
mun_290200,MUNICIPIO BAYAGUANA,290200
mun_290300,MUNICIPIO SABANA GRANDE DE BOYÁ,290300
mun_290400,MUNICIPIO YAMASÁ,290400
mun_290500,MUNICIPIO PERALVILLO,290500
mun_300100,MUNICIPIO HATO MAYOR,300100
mun_300200,MUNICIPIO SABANA DE LA MAR,300200
mun_300300,MUNICIPIO EL VALLE,300300
mun_310100,MUNICIPIO SAN JOSÉ DE OCOA,310100
mun_310200,MUNICIPIO SABANA LARGA,310200
mun_310300,MUNICIPIO RANCHO ARRIBA,310300
mun_320100,MUNICIPIO SANTO DOMINGO ESTE,320100
mun_320200,MUNICIPIO SANTO DOMINGO OESTE,320200
mun_320300,MUNICIPIO SANTO DOMINGO NORTE,320300
mun_320400,MUNICIPIO BOCA CHICA,320400
mun_320500,MUNICIPIO SAN ANTONIO DE GUERRA,320500
mun_320600,MUNICIPIO LOS ALCARRIZOS,320600
mun_320700,MUNICIPIO PEDRO BRAND,320700
